key,label,eclipse_type,JD_UT,site_name,lat_deg,lon_deg,elev_m,visible,classification,sun_alt_deg,sun_az_deg,moon_alt_deg,moon_az_deg,illumination,phase_angle_deg,elongation_deg,error
SE_-0584_Thales,Total Solar Eclipse — 28 May 585 BCE (Thales),solar,1507900.09892,Alexandria,31.2,29.92,5.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
SE_-0584_Thales,Total Solar Eclipse — 28 May 585 BCE (Thales),solar,1507900.09892,Cairo (Fustat),30.03,31.23,23.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
SE_-0584_Thales,Total Solar Eclipse — 28 May 585 BCE (Thales),solar,1507900.09892,Athens,37.98,23.72,70.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
SE_-0584_Thales,Total Solar Eclipse — 28 May 585 BCE (Thales),solar,1507900.09892,Constantinople (Istanbul),41.01,28.97,40.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
SE_-0584_Thales,Total Solar Eclipse — 28 May 585 BCE (Thales),solar,1507900.09892,Antioch (Antakya),36.2,36.16,80.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
SE_-0584_Thales,Total Solar Eclipse — 28 May 585 BCE (Thales),solar,1507900.09892,Damascus,33.51,36.29,680.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
SE_-0584_Thales,Total Solar Eclipse — 28 May 585 BCE (Thales),solar,1507900.09892,Babylon (Hillah),32.54,44.42,30.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
SE_-0584_Thales,Total Solar Eclipse — 28 May 585 BCE (Thales),solar,1507900.09892,Nineveh (Mosul),36.35,43.15,220.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
SE_-0584_Thales,Total Solar Eclipse — 28 May 585 BCE (Thales),solar,1507900.09892,Uruk (Warka),31.32,45.64,20.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
SE_-0584_Thales,Total Solar Eclipse — 28 May 585 BCE (Thales),solar,1507900.09892,Nippur (Nuffar),32.12,45.23,20.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
SE_-0584_Thales,Total Solar Eclipse — 28 May 585 BCE (Thales),solar,1507900.09892,Persepolis (Takht-e Jamshid),29.94,52.89,1620.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
SE_-0584_Thales,Total Solar Eclipse — 28 May 585 BCE (Thales),solar,1507900.09892,Isfahan,32.65,51.67,1575.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
SE_-0584_Thales,Total Solar Eclipse — 28 May 585 BCE (Thales),solar,1507900.09892,Ujjain,23.18,75.78,500.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
SE_-0584_Thales,Total Solar Eclipse — 28 May 585 BCE (Thales),solar,1507900.09892,Pataliputra (Patna),25.61,85.14,53.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
SE_-0584_Thales,Total Solar Eclipse — 28 May 585 BCE (Thales),solar,1507900.09892,Taxila,33.74,72.84,549.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
SE_-0584_Thales,Total Solar Eclipse — 28 May 585 BCE (Thales),solar,1507900.09892,Samarkand,39.65,66.96,702.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
